"11/24/2022, 00:18:24: AM"
"11/24/2022, 00:19:17: AM"
"11/24/2022, 08:48:48: AM"
"11/24/2022, 08:48:57: AM"
"11/24/2022, 08:49:12: AM"
"11/24/2022, 08:52:19: AM"
"11/24/2022, 09:19:45: AM"
"11/24/2022, 09:34:20: AM"
"11/24/2022, 09:34:31: AM"
"11/24/2022, 09:36:16: AM"
"11/24/2022, 09:36:29: AM"
"11/24/2022, 09:37:55: AM"
"11/24/2022, 09:50:21: AM"
"11/24/2022, 09:50:32: AM"
"11/24/2022, 09:51:20: AM"
"11/24/2022, 12:49:38: PM"
"11/24/2022, 12:49:52: PM"
"11/24/2022, 12:50:11: PM"
"11/24/2022, 12:50:28: PM"
"11/24/2022, 12:50:39: PM"
"11/24/2022, 12:50:55: PM"
"11/24/2022, 12:51:08: PM"
"11/24/2022, 12:51:40: PM"
"11/24/2022, 12:52:14: PM"
"11/24/2022, 12:52:26: PM"
"11/24/2022, 14:37:10: PM"
"11/24/2022, 14:38:11: PM"
"11/24/2022, 14:39:01: PM"
"11/24/2022, 15:19:40: PM"
"11/24/2022, 15:19:53: PM"
"11/24/2022, 15:21:10: PM"
"11/24/2022, 15:21:28: PM"
"11/24/2022, 15:22:08: PM"
"11/24/2022, 17:17:39: PM"
"11/24/2022, 17:17:53: PM"
"11/24/2022, 17:19:00: PM"
"11/25/2022, 14:36:45: PM"
"11/25/2022, 14:37:01: PM"
"11/25/2022, 14:37:14: PM"
"11/25/2022, 14:37:27: PM"
"11/25/2022, 14:37:51: PM"
"11/25/2022, 17:28:37: PM"
"11/25/2022, 17:29:00: PM"
"11/26/2022, 06:23:48: AM"
"11/26/2022, 06:24:04: AM"
"11/26/2022, 13:18:35: PM"
"11/26/2022, 13:19:00: PM"
"11/26/2022, 13:20:26: PM"
"11/26/2022, 13:20:35: PM"
"11/26/2022, 13:20:48: PM"
"11/26/2022, 13:50:09: PM"
"11/26/2022, 14:04:31: PM"
"11/26/2022, 19:04:11: PM"
"11/26/2022, 19:04:37: PM"
