"11/24/2022, 00:18:24: AM"
"11/24/2022, 00:19:17: AM"
"11/24/2022, 08:48:48: AM"
"11/24/2022, 08:48:57: AM"
"11/24/2022, 08:49:12: AM"
"11/24/2022, 08:52:19: AM"
"11/24/2022, 09:19:45: AM"
"11/24/2022, 09:34:20: AM"
"11/24/2022, 09:34:31: AM"
"11/24/2022, 12:56:01: PM"
"11/24/2022, 12:56:25: PM"
"11/24/2022, 12:58:53: PM"
"11/24/2022, 12:59:58: PM"
"11/24/2022, 13:00:20: PM"
"11/24/2022, 13:02:59: PM"
"11/24/2022, 13:06:21: PM"
"11/24/2022, 13:07:58: PM"
"11/24/2022, 13:08:45: PM"
"11/24/2022, 13:09:21: PM"
"11/24/2022, 13:09:35: PM"
"11/24/2022, 13:10:10: PM"
"11/25/2022, 14:13:45: PM"
"11/25/2022, 14:13:56: PM"
"11/25/2022, 14:14:47: PM"
"11/25/2022, 14:17:18: PM"
"11/25/2022, 14:17:42: PM"
"11/25/2022, 14:18:44: PM"
"11/25/2022, 14:18:55: PM"
"11/25/2022, 14:19:07: PM"
"11/28/2022, 17:04:35: PM"
"11/28/2022, 17:04:57: PM"
"11/28/2022, 17:05:15: PM"
"11/28/2022, 17:05:49: PM"
